student_id,attendance_rate,avg_quiz_score,meals_program,at_risk,attendance_entropy
CA0001,0.8357,81.7,no,no,0.6931
CA0002,0.7375,89.6,no,no,1.0114
CA0003,0.8709,80.0,no,no,0.6931
CA0004,0.9016,76.0,yes,yes,0.4506
CA0005,0.9273,85.3,no,no,0.4506
CA0006,0.9628,96.3,yes,no,0.0
CA0007,1.0,96.3,no,no,0.0
CA0008,0.919,82.8,no,no,0.0
CA0009,0.8112,89.4,yes,no,0.4506
CA0010,0.6677,91.3,yes,no,1.0114
CA0011,0.6039,74.8,yes,yes,0.6931
CA0012,1.0,100.0,no,no,0.0
CA0013,0.7736,93.5,yes,no,0.8676
CA0014,1.0,100.0,no,no,0.4506
CA0015,0.6792,82.6,no,yes,0.6365
CA0016,0.8609,77.2,no,no,0.6365
CA0017,0.5375,62.7,yes,yes,1.0986
CA0018,0.7184,85.4,yes,no,0.6931
CA0019,0.8201,88.4,no,no,0.6365
CA0020,0.7478,81.7,no,no,1.0114
CA0021,0.9229,100.0,no,no,0.0
CA0022,0.756,83.3,yes,no,1.0986
CA0023,0.7149,75.3,yes,yes,0.8676
CA0024,1.0,80.2,no,no,0.4506
CA0025,0.9053,94.4,yes,no,0.0
CA0026,0.8473,67.8,yes,no,0.6365
CA0027,1.0,81.2,yes,no,0.4506
CA0028,0.8835,88.0,no,no,0.4506
CA0029,0.6752,81.2,no,no,0.8676
CA0030,0.7253,68.2,yes,yes,1.0114
CA0031,0.6542,59.7,yes,no,0.6931
CA0032,0.8734,87.4,no,no,0.4506
CA0033,1.0,91.5,no,no,0.0
CA0034,0.8956,89.6,no,no,0.6931
CA0035,1.0,86.8,no,no,0.0
CA0036,0.8308,100.0,yes,no,0.4506
CA0037,0.9021,96.1,yes,no,0.4506
CA0038,0.8073,85.4,no,no,0.6365
CA0039,0.7359,75.7,yes,no,1.0114
CA0040,0.8828,66.6,no,yes,0.6931
CA0041,0.7377,65.2,no,no,0.6931
CA0042,0.7614,72.2,yes,no,0.6365
CA0043,0.8404,93.9,yes,no,0.4506
CA0044,0.7529,79.8,yes,yes,0.6365
CA0045,0.9349,86.4,no,no,0.4506
CA0046,0.8166,82.4,no,no,0.6931
CA0047,,72.8,yes,yes,0.4506
CA0048,0.6903,91.7,yes,yes,0.6365
CA0049,0.7968,100.0,no,no,0.8676
CA0050,0.6795,70.9,yes,no,0.6365
CA0051,1.0,96.0,no,no,0.0
CA0052,0.8998,91.2,no,no,0.4506
CA0053,0.8044,88.1,no,yes,0.6365
CA0054,0.8832,92.0,no,no,0.6365
CA0055,0.9287,96.1,no,no,0.6365
CA0056,1.0,81.8,yes,no,0.0
CA0057,0.9951,100.0,no,no,0.0
CA0058,0.8652,100.0,no,no,0.4506
CA0059,,100.0,no,no,1.0114
CA0060,0.8421,72.9,yes,yes,0.6931
CA0061,0.8171,64.8,yes,no,0.6365
CA0062,0.9817,94.6,no,no,0.0
CA0063,,85.4,no,no,1.0114
CA0064,0.7805,80.7,no,no,0.6365
CA0065,0.9713,92.2,no,no,0.0
CA0066,0.6049,88.3,yes,no,0.6931
CA0067,0.7527,93.2,no,no,0.6365
CA0068,0.9458,100.0,no,no,0.4506
CA0069,0.9387,99.3,yes,no,0.4506
CA0070,0.9097,86.0,no,no,0.4506
CA0071,1.0,94.9,no,no,0.0
CA0072,0.5818,69.2,no,yes,0.4506
CA0073,0.6416,64.1,yes,no,0.6365
CA0074,0.5073,69.1,yes,yes,0.6365
CA0075,1.0,96.1,no,no,0.0
CA0076,0.6595,80.1,yes,yes,0.6365
CA0077,0.7943,100.0,yes,no,0.6365
CA0078,0.7382,87.2,no,no,0.8676
CA0079,1.0,87.8,no,no,0.6365
CA0080,0.6464,75.5,no,no,1.0114
CA0081,0.9843,94.4,no,no,0.4506
CA0082,0.9128,96.8,no,no,0.4506
CA0083,0.65,81.2,yes,no,0.6931
CA0084,0.8877,83.1,no,yes,0.8676
CA0085,0.9022,100.0,no,no,0.0
CA0086,1.0,91.4,no,no,0.0
CA0087,0.8488,97.0,no,no,0.6365
CA0088,0.6986,62.7,no,yes,0.8676
CA0089,0.7886,85.9,yes,no,0.6931
CA0090,0.7257,95.4,no,no,0.0
CA0091,0.8026,73.7,no,yes,0.4506
CA0092,1.0,100.0,no,no,0.0
CA0093,0.86,92.0,yes,no,0.0
CA0094,0.6969,100.0,no,no,0.6365
CA0095,0.7904,93.2,no,no,0.8676
CA0096,0.7157,64.7,no,yes,0.0
CA0097,0.9115,86.8,no,no,0.6365
CA0098,0.9508,98.1,no,no,0.4506
CA0099,1.0,100.0,no,no,0.4506
CA0100,1.0,86.8,no,no,0.4506
CA0101,0.6473,100.0,no,no,0.6931
CA0102,0.866,81.0,no,no,0.4506
CA0103,0.736,83.3,no,no,0.8676
CA0104,1.0,100.0,no,no,0.4506
CA0105,0.9567,91.2,no,no,0.0
CA0106,0.8986,78.3,no,yes,0.0
CA0107,0.83,100.0,yes,no,0.6365
CA0108,0.9661,99.4,no,no,0.6365
CA0109,0.8289,92.1,no,no,0.4506
CA0110,0.8009,85.0,no,no,0.6931
CA0111,0.6169,97.5,yes,yes,0.8676
CA0112,1.0,99.6,yes,no,0.4506
CA0113,0.7644,72.5,no,yes,0.6931
CA0114,0.6935,97.5,yes,no,0.6365
CA0115,0.963,89.1,no,no,0.0
CA0116,0.9021,86.8,yes,no,0.0
CA0117,0.8815,100.0,yes,no,0.8676
CA0118,0.8205,83.0,no,no,0.6931
CA0119,0.8157,70.8,yes,no,0.6365
CA0120,0.7905,80.6,no,no,1.0114
CA0121,0.7795,74.1,yes,no,0.6365
CA0122,1.0,95.0,no,no,0.0
CA0123,,95.9,no,no,0.4506
CA0124,0.5633,79.7,yes,yes,0.8676
CA0125,0.9183,99.7,no,yes,0.0
CA0126,0.8395,92.6,yes,no,0.6365
CA0127,0.542,80.5,no,no,1.0114
CA0128,0.7549,91.2,no,yes,0.4506
CA0129,0.7874,84.0,yes,no,1.0114
CA0130,0.7869,100.0,no,no,1.0114
CA0131,0.5877,81.6,yes,no,1.0114
CA0132,0.6364,75.9,yes,no,0.6365
CA0133,0.7599,75.8,yes,no,0.6931
CA0134,0.8271,83.9,no,yes,0.4506
CA0135,0.8055,81.8,yes,no,0.6365
CA0136,0.7766,95.7,yes,no,0.8676
CA0137,0.5715,60.5,yes,yes,0.6365
CA0138,1.0,88.2,no,no,0.0
CA0139,0.5343,65.7,yes,yes,0.6931
CA0140,0.9025,85.6,no,no,0.6365
CA0141,0.7558,87.1,yes,no,0.6365
CA0142,1.0,100.0,no,no,0.0
CA0143,0.7733,76.4,no,no,1.0114
CA0144,1.0,88.9,no,no,0.0
CA0145,0.9247,72.5,no,no,0.4506
CA0146,0.9427,93.4,no,no,0.4506
CA0147,0.8636,86.8,no,no,0.0
CA0148,1.0,100.0,no,yes,0.0
CA0149,0.8628,99.1,no,no,0.4506
CA0150,0.6226,63.6,yes,no,0.6931
CA0151,0.6621,84.9,no,no,0.6365
CA0152,1.0,89.1,no,no,0.0
CA0153,0.7538,81.5,yes,no,0.4506
CA0154,1.0,80.7,no,yes,0.0
CA0155,,100.0,yes,no,0.8676
CA0156,0.8643,81.3,no,no,0.0
CA0157,0.9235,83.3,no,no,0.4506
CA0158,0.7793,100.0,no,no,0.6365
CA0159,0.8488,94.6,no,no,0.6931
CA0160,0.7408,88.8,no,yes,1.0114
CA0161,0.7251,73.3,yes,yes,1.0114
CA0162,1.0,100.0,no,no,0.0
CA0163,0.7057,79.2,yes,no,0.6365
CA0164,0.9403,99.3,no,no,0.6365
CA0165,0.8005,83.8,no,no,0.6931
CA0166,0.6278,65.3,yes,no,0.4506
CA0167,,82.4,no,no,1.0114
CA0168,0.5334,97.4,yes,no,0.8676
CA0169,0.8743,100.0,no,no,0.6365
CA0170,0.9338,86.8,no,no,0.0
CA0171,0.8282,81.3,no,no,0.8676
CA0172,1.0,100.0,no,no,0.0
CA0173,0.8442,68.5,no,no,0.6931
CA0174,0.8847,90.2,no,no,0.6365
CA0175,0.9934,94.8,no,no,0.4506
CA0176,0.8914,86.8,no,no,0.0
CA0177,1.0,96.2,no,no,0.4506
CA0178,0.7394,86.2,no,no,0.8676
CA0179,0.7622,76.3,no,no,0.6365
CA0180,0.9976,100.0,no,no,0.0
CA0181,1.0,100.0,no,no,0.0
CA0182,0.8644,100.0,no,no,0.0
CA0183,,86.8,no,no,1.0114
CA0184,0.7754,79.2,yes,yes,0.6931
CA0185,0.7812,86.8,no,no,0.6931
CA0186,1.0,100.0,no,no,0.4506
CA0187,0.7469,74.0,yes,yes,0.4506
CA0188,0.8884,88.0,no,no,0.0
CA0189,0.5271,48.5,yes,yes,0.6365
CA0190,1.0,100.0,no,no,0.4506
CA0191,0.9712,91.6,no,no,0.0
CA0192,0.8548,91.7,no,no,0.6365
CA0193,1.0,97.1,no,no,0.4506
CA0194,0.7599,85.8,no,no,0.6365
CA0195,1.0,100.0,no,no,0.0
CA0196,0.8826,85.8,no,no,0.4506
CA0197,0.7537,93.2,yes,no,0.4506
CA0198,0.4487,50.4,yes,yes,0.8676
CA0199,0.8593,100.0,no,no,0.6931
CA0200,1.0,100.0,no,no,0.0
CA0201,0.6019,85.0,yes,yes,0.4506
CA0202,0.8412,78.5,no,no,0.6365
CA0203,0.8565,83.8,no,no,0.4506
CA0204,0.6468,71.5,yes,no,1.0114
CA0205,0.9109,91.8,yes,no,0.4506
CA0206,0.7754,87.9,yes,no,0.6365
CA0207,0.7101,92.6,yes,no,0.8676
CA0208,0.7629,98.2,yes,no,0.8676
CA0209,0.8193,83.0,no,no,0.0
CA0210,0.7719,77.7,no,no,1.0114
CA0211,,95.3,no,no,0.8676
CA0212,0.8169,78.7,yes,no,0.4506
CA0213,0.8046,97.8,no,no,0.6931
CA0214,0.7494,97.7,yes,no,1.0114
CA0215,0.6948,74.9,yes,no,0.4506
CA0216,0.6418,72.0,no,no,0.4506
CA0217,1.0,93.0,no,no,0.0
CA0218,0.8024,83.6,no,no,0.6931
CA0219,0.6596,81.3,yes,no,1.0114
CA0220,0.7914,89.5,no,no,1.0114
CA0221,1.0,82.5,yes,no,0.0
CA0222,0.8819,91.6,no,no,0.0
CA0223,0.7274,83.9,yes,yes,1.0114
CA0224,0.5619,70.0,yes,yes,1.0114
CA0225,1.0,99.9,yes,no,0.0
CA0226,0.6805,81.8,yes,no,0.6931
CA0227,0.7641,76.3,no,no,1.0114
CA0228,0.7012,79.9,no,no,0.6365
CA0229,0.8618,94.4,no,no,0.4506
CA0230,1.0,100.0,no,no,0.0
CA0231,0.6401,72.0,no,yes,0.6931
CA0232,0.6976,86.8,yes,no,0.4506
CA0233,0.8192,75.9,yes,no,1.0114
CA0234,1.0,100.0,no,no,0.4506
CA0235,0.9439,82.6,yes,no,0.0
CA0236,0.7722,99.8,no,no,0.6365
CA0237,0.6996,93.0,no,no,0.8676
CA0238,0.8443,79.7,no,yes,0.4506
CA0239,0.7067,86.8,no,yes,0.0
CA0240,0.9205,86.8,yes,no,0.4506
CA0241,0.7658,79.2,yes,no,0.8676
CA0242,1.0,100.0,no,no,0.4506
CA0243,1.0,86.1,no,no,0.0
CA0244,0.6844,77.0,no,no,1.0114
CA0245,0.8122,93.2,yes,no,0.6365
CA0246,0.7519,83.6,yes,no,0.8676
CA0247,0.7986,98.1,yes,no,0.6931
CA0248,0.7279,86.8,no,no,0.8676
CA0249,0.6692,75.4,yes,no,0.0
CA0250,0.7363,76.8,no,no,1.0114
CA0251,0.8236,79.5,yes,no,0.8676
CA0252,0.9139,86.8,yes,no,0.6365
CA0253,0.7835,82.6,no,no,0.6365
CA0254,0.8218,86.0,no,no,0.4506
CA0255,0.7769,79.7,yes,no,1.0114
CA0256,0.7817,86.8,yes,no,0.6365
CA0257,0.845,62.1,no,no,0.6365
CA0258,0.7765,67.0,yes,yes,0.6365
CA0259,0.6697,65.2,yes,yes,1.0114
CA0260,0.9775,91.4,no,no,0.0
CA0261,1.0,86.9,no,no,0.4506
CA0262,0.7902,95.3,yes,no,1.0114
CA0263,1.0,100.0,no,no,0.4506
CA0264,0.9333,87.8,no,no,0.4506
CA0265,0.5797,77.6,yes,yes,0.4506
CA0266,1.0,100.0,no,no,0.0
CA0267,0.6579,73.9,yes,no,0.6365
CA0268,0.8427,100.0,no,no,0.6931
CA0269,0.697,86.8,no,no,1.0114
CA0270,0.6748,86.8,yes,yes,0.8676
CA0271,0.9792,100.0,no,no,0.0
CA0272,1.0,97.0,no,no,0.0
CA0273,0.8828,100.0,no,no,0.6931
CA0274,0.5116,86.8,yes,yes,1.0986
CA0275,0.7913,82.5,no,no,1.0114
CA0276,0.7986,84.9,yes,no,1.0114
CA0277,0.9713,99.1,no,no,0.0
CA0278,0.9043,80.4,no,no,0.4506
CA0279,0.7217,83.4,yes,no,0.4506
CA0280,,83.2,no,yes,0.4506
CA0281,1.0,96.6,yes,no,0.0
CA0282,0.8312,73.2,no,yes,0.4506
CA0283,0.8173,75.6,no,no,0.6931
CA0284,0.617,73.1,no,yes,0.6931
CA0285,0.9257,86.8,yes,no,0.0
CA0286,0.8563,80.8,no,no,0.6365
CA0287,0.7255,85.7,no,no,0.4506
CA0288,0.9842,100.0,no,no,0.6365
CA0289,1.0,100.0,no,no,0.4506
CA0290,1.0,100.0,no,no,0.0
CA0291,0.9954,94.3,no,yes,0.0
CA0292,0.5367,74.9,no,yes,0.8676
CA0293,0.9177,83.6,yes,no,0.0
CA0294,0.9617,100.0,no,no,0.0
CA0295,0.8259,86.8,yes,no,0.6931
CA0296,0.8605,100.0,yes,no,0.6931
CA0297,0.9098,82.0,no,no,0.6365
CA0298,0.996,86.8,no,no,0.0
CA0299,0.7663,66.6,no,yes,0.4506
CA0300,0.649,90.7,no,no,0.8676
